"z_id","address","dateSold","price","beds","baths","house_area"
"zpid_2100706098","8620 NW 13th St LOT 343, Gainesville, FL",2016-11-22,38000,2,2,1324
"zpid_66691407","2107 NW 86th Ter, Gainesville, FL",2016-11-22,192000,3,2,1602
"zpid_42725033","2861 SW 39th Ave, Gainesville, FL",2016-11-22,59000,2,1,820
"zpid_70737095","6519 W Newberry Rd APT 802, Gainesville, FL",2016-11-22,55000,2,2,1003
"zpid_42729885","3609 NW 21st Dr, Gainesville, FL",2016-11-22,122000,3,2,1070
"zpid_58882366","2822 NW 39th Ter, Gainesville, FL",2016-11-22,122000,2,2,1050
"zpid_82053989","13479 NW 7th Rd, Newberry, FL",2016-11-22,405000,4,3,2677
"zpid_42721841","10305 SW 49th Ln, Gainesville, FL",2016-11-21,280000,3,2,1996
"zpid_42720747","8123 SW 51st Blvd, Gainesville, FL",2016-11-21,239500,4,2,2046
"zpid_42722114","9121 SW 49th Pl, Gainesville, FL",2016-11-21,319900,4,4,2761
"zpid_42729597","2010 NW 34th Ave, Gainesville, FL",2016-11-21,59200,2,1,720
"zpid_42710944","4623 NW 30th Ave, Gainesville, FL",2016-11-21,167000,3,2,1386
"zpid_42729483","1936 NW 31st Ave, Gainesville, FL",2016-11-21,22000,3,1,980
"zpid_42717643","737 NW 84th St, Gainesville, FL",2016-11-21,205000,4,3,3043
"zpid_42705079","3932 NW 65th Ave, Gainesville, FL",2016-11-21,198570,4,2,1821
"zpid_42707530","3946 NW 34th Dr, Gainesville, FL",2016-11-21,189900,3,2,1552
"zpid_42711152","4928 NW 30th Pl, Gainesville, FL",2016-11-21,124000,3,2,1288
"zpid_58882524","3910 NW 25th Cir, Gainesville, FL",2016-11-21,175000,2,2,1185
"zpid_66690143","9472 SW 31st Ln, Gainesville, FL",2016-11-21,248000,3,2,1846
"zpid_42712196","10135 NW 25th Pl, Gainesville, FL",2016-11-21,225000,3,3,2331
"zpid_42711990","10534 NW 36th Pl, Gainesville, FL",2016-11-18,156000,2,2,1571
"zpid_42697591","1016 NW 107th Ter, Gainesville, FL",2016-11-18,248000,4,2,2021
"zpid_42706879","4909 NW 36th Dr, Gainesville, FL",2016-11-18,166000,4,2,2000
"zpid_42698161","324 NW 122nd St, Gainesville, FL",2016-11-17,157000,4,2,1848
"zpid_42697059","11133 NW 37th Ln, Gainesville, FL",2016-11-17,225000,4,2,1869
"zpid_42716785","3806 SW 2nd Ave, Gainesville, FL",2016-11-17,218000,4,2.5,2471
"zpid_42713084","1220 NW 55th St, Gainesville, FL",2016-11-17,91000,3,1,1160
"zpid_42729227","720 NW 31st Ave, Gainesville, FL",2016-11-17,137000,3,2,1740
"zpid_42707538","4442 NW 23rd Dr, Gainesville, FL",2016-11-17,2e+05,3,2,1932
"zpid_42727031","4421 NW 20th St, Gainesville, FL",2016-11-17,115000,3,2,1330
"zpid_42736914","1111 SW 19th Pl, Gainesville, FL",2016-11-17,149700,2,2,1232
"zpid_42720985","5232 SW 86th Ter, Gainesville, FL",2016-11-17,112500,2,2,1212
"zpid_42712845","1060 NW 89th Dr, Gainesville, FL",2016-11-16,155000,4,2,2112
"zpid_42705108","5211 NW 55th Ln, Gainesville, FL",2016-11-16,126000,3,2,1308
"zpid_66689994","11565 NW 18th Pl, Gainesville, FL",2016-11-16,184050,3,2,1816
"zpid_66675927","7835 NW 4th Ct, Gainesville, FL",2016-11-16,257000,4,3,2110
"zpid_42707621","2403 NW 49th Ave, Gainesville, FL",2016-11-16,162000,3,2,1611
"zpid_42705913","4226 NW 77th Ter, Gainesville, FL",2016-11-16,222000,4,2,2168
"zpid_42702255","8620 NW 13th St LOT 136, Gainesville, FL",2016-11-15,106000,2,2,1152
"zpid_42704158","5518 NW 34th St, Gainesville, FL",2016-11-15,178500,3,3,1479
